year,airportCode,City,averageFare,%YoYChange,%ChangeSince2015,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2015InflationAdj
2015,HVR,Havre,505.50,,0.00,685.29,,0.00
2016,HVR,Havre,626.50,23.94,23.94,834.30,21.74,21.74
2017,HVR,Havre,470.00,-24.98,-7.02,612.91,-26.54,-10.56
2018,HVR,Havre,577.00,22.77,14.14,736.23,20.12,7.43
2019,HVR,Havre,424.50,-26.43,-16.02,530.85,-27.90,-22.54
2020,HVR,Havre,604.00,42.29,19.49,746.07,40.54,8.87
2021,HVR,Havre,531.25,-12.04,5.09,615.07,-17.56,-10.25
2022,HVR,Havre,671.00,26.31,32.74,725.36,17.93,5.85
2023,HVR,Havre,903.00,34.58,78.64,945.48,30.35,37.97
2024,HVR,Havre,572.33,-36.62,13.22,583.25,-38.31,-14.89
