year,airportCode,City,averageFare,%YoYChange,%ChangeSince2015,2025Q2InflationAdjFare,%changeYoYInflationAdj,%changeSince2015InflationAdj
2015,MSO,Missoula,434.04,,0.00,588.41,,0.00
2016,MSO,Missoula,406.36,-6.38,-6.38,541.14,-8.03,-8.03
2017,MSO,Missoula,456.34,12.30,5.14,595.10,9.97,1.14
2018,MSO,Missoula,406.79,-10.86,-6.28,519.05,-12.78,-11.79
2019,MSO,Missoula,420.19,3.29,-3.19,525.47,1.24,-10.70
2020,MSO,Missoula,318.22,-24.27,-26.68,393.08,-25.19,-33.20
2021,MSO,Missoula,450.77,41.65,3.85,521.89,32.77,-11.31
2022,MSO,Missoula,542.66,20.39,25.03,586.62,12.40,-0.30
2023,MSO,Missoula,556.54,2.56,28.22,582.72,-0.66,-0.97
2024,MSO,Missoula,489.74,-12.00,12.83,499.08,-14.35,-15.18
