year,totalPassengers,changeYoY,%changeYoy,changeSince2015,%changeSince2015,changeSince2019,%changeSince2019,changeSince2020,%changeSince2020
2015,1802236,,,0,0.00,-556576,-23.60,566213,45.81
2016,1885825,83589,4.64,83589,4.64,-472987,-20.05,649802,52.57
2017,1948882,63057,3.34,146646,8.14,-409930,-17.38,712859,57.67
2018,2135235,186353,9.56,332999,18.48,-223577,-9.48,899212,72.75
2019,2358812,223577,10.47,556576,30.88,0,0.00,1122789,90.84
2020,1236023,-1122789,-47.60,-566213,-31.42,-1122789,-47.60,0,0.00
2021,2359606,1123583,90.90,557370,30.93,794,0.03,1123583,90.90
2022,2592839,233233,9.88,790603,43.87,234027,9.92,1356816,109.77
2023,2839301,246462,9.51,1037065,57.54,480489,20.37,1603278,129.71
2024,3100862,261561,9.21,1298626,72.06,742050,31.46,1864839,150.87
