year,time,averagePrice,%changeYoY,%changeSince2020,Q2InflationAdj2025,%changeYoYInflationAdj,%changeSince2020InflationAdj
2020,before,2.22,,0.00,2.74,,0.00
2020,after,2.23,,0.00,2.75,,0.00
2021,before,3.40,53.14,53.14,3.93,43.55,43.55
2021,after,3.39,52.26,52.26,3.92,42.72,42.72
2022,before,3.72,9.58,67.81,4.02,2.31,46.86
2022,after,3.55,4.79,59.55,3.84,-2.16,39.63
2023,before,3.30,-11.39,48.69,3.45,-14.17,26.05
2023,after,3.18,-10.39,42.97,3.33,-13.20,21.19
2024,before,2.93,-11.11,32.17,2.99,-13.49,9.05
2024,after,2.87,-9.68,29.12,2.93,-12.10,6.53
