startDate,endDate,startPrice,endPrice,increase,pctIncrease
3/3/2022,3/5/2022,3.586,3.776,0.190,5
3/1/2026,3/3/2026,2.780,2.929,0.149,5
3/6/2022,3/8/2022,3.811,3.943,0.132,3
6/8/2022,6/9/2022,4.764,4.857,0.093,2
6/5/2022,6/7/2022,4.645,4.736,0.091,2
2/11/2024,2/13/2024,2.958,3.040,0.082,3
9/7/2023,9/8/2023,4.011,4.085,0.074,2
8/1/2022,8/3/2022,4.407,4.336,-0.071,-2
3/2/2022,3/3/2022,3.516,3.586,0.070,2
11/27/2022,11/29/2022,3.605,3.537,-0.068,-2
9/10/2023,9/12/2023,4.117,4.185,0.068,2
12/11/2022,12/13/2022,3.167,3.101,-0.066,-2
10/26/2023,10/27/2023,3.802,3.742,-0.060,-2
7/30/2023,8/1/2023,3.860,3.918,0.058,2
6/2/2022,6/3/2022,4.520,4.576,0.056,1
12/9/2022,12/10/2022,3.226,3.170,-0.056,-2
12/7/2022,12/8/2022,3.309,3.254,-0.055,-2
12/4/2022,12/6/2022,3.412,3.359,-0.053,-2
3/3/2026,3/4/2026,2.929,2.981,0.052,2
7/24/2022,7/26/2022,4.613,4.563,-0.050,-1
6/22/2025,6/24/2025,3.235,3.285,0.050,2
3/8/2022,3/9/2022,3.943,3.993,0.050,1
12/6/2022,12/7/2022,3.359,3.309,-0.050,-1
1/22/2023,1/24/2023,3.133,3.183,0.050,2
11/9/2023,11/10/2023,3.480,3.430,-0.050,-1
10/2/2022,10/4/2022,3.939,3.988,0.049,1
3/3/2024,3/5/2024,3.261,3.310,0.049,2
3/9/2025,3/11/2025,3.148,3.099,-0.049,-2
7/21/2022,7/22/2022,4.679,4.631,-0.048,-1
2/22/2026,2/24/2026,2.725,2.772,0.047,2
1/19/2025,1/21/2025,2.861,2.907,0.046,2
7/20/2022,7/21/2022,4.725,4.679,-0.046,-1
7/27/2022,7/28/2022,4.547,4.501,-0.046,-1
8/5/2022,8/6/2022,4.334,4.288,-0.046,-1
7/29/2022,7/30/2022,4.467,4.422,-0.045,-1
11/19/2023,11/21/2023,3.314,3.269,-0.045,-1
12/1/2024,12/3/2024,2.906,2.861,-0.045,-2
9/18/2025,9/19/2025,3.215,3.170,-0.045,-1
10/25/2022,10/26/2022,3.972,3.928,-0.044,-1
12/13/2022,12/14/2022,3.101,3.057,-0.044,-1
12/6/2023,12/7/2023,3.118,3.074,-0.044,-1
10/5/2025,10/7/2025,3.121,3.077,-0.044,-1
9/8/2024,9/10/2024,3.403,3.360,-0.043,-1
6/15/2025,6/17/2025,3.186,3.229,0.043,1
9/20/2025,9/21/2025,3.152,3.195,0.043,1
10/31/2023,11/1/2023,3.705,3.663,-0.042,-1
11/13/2023,11/15/2023,3.402,3.360,-0.042,-1
5/10/2022,5/12/2022,4.229,4.271,0.042,1
9/28/2025,9/30/2025,3.147,3.106,-0.041,-1
7/12/2022,7/13/2022,4.852,4.812,-0.040,-1
11/20/2022,11/22/2022,3.715,3.675,-0.040,-1
10/4/2025,10/5/2025,3.081,3.121,0.040,1
12/7/2025,12/9/2025,2.959,2.919,-0.040,-1
9/27/2023,9/28/2023,4.171,4.132,-0.039,-1
3/1/2022,3/2/2022,3.477,3.516,0.039,1
11/5/2023,11/7/2023,3.575,3.536,-0.039,-1
11/7/2023,11/8/2023,3.536,3.497,-0.039,-1
3/17/2024,3/19/2024,3.462,3.501,0.039,1
4/26/2025,4/27/2025,3.175,3.136,-0.039,-1
6/13/2021,6/15/2021,2.973,3.011,0.038,1
5/15/2022,5/17/2022,4.282,4.320,0.038,1
5/31/2022,6/1/2022,4.450,4.488,0.038,1
6/3/2022,6/4/2022,4.576,4.614,0.038,1
4/12/2023,4/13/2023,3.328,3.366,0.038,1
11/22/2022,11/23/2022,3.675,3.637,-0.038,-1
12/8/2024,12/10/2024,2.843,2.805,-0.038,-1
5/3/2022,5/7/2022,4.172,4.209,0.037,1
7/10/2022,7/12/2022,4.889,4.852,-0.037,-1
7/23/2023,7/25/2023,3.755,3.792,0.037,1
1/30/2024,1/31/2024,2.822,2.859,0.037,1
9/21/2025,9/23/2025,3.195,3.158,-0.037,-1
8/30/2022,8/31/2022,4.097,4.061,-0.036,-1
11/29/2022,11/30/2022,3.537,3.501,-0.036,-1
1/5/2023,1/6/2023,2.962,2.998,0.036,1
1/24/2023,1/25/2023,3.183,3.219,0.036,1
2/18/2024,2/19/2024,3.096,3.132,0.036,1
3/5/2022,3/6/2022,3.776,3.811,0.035,1
10/9/2023,10/11/2023,3.995,3.960,-0.035,-1
10/22/2023,10/24/2023,3.878,3.843,-0.035,-1
11/21/2023,11/22/2023,3.269,3.234,-0.035,-1
11/26/2023,11/28/2023,3.200,3.165,-0.035,-1
1/12/2025,1/14/2025,2.784,2.819,0.035,1
1/26/2025,1/28/2025,2.913,2.948,0.035,1
4/9/2023,4/11/2023,3.269,3.304,0.035,1
7/28/2022,7/29/2022,4.501,4.467,-0.034,-1
12/23/2022,12/24/2022,2.952,2.986,0.034,1
10/2/2023,10/4/2023,4.068,4.034,-0.034,-1
11/3/2023,11/4/2023,3.617,3.583,-0.034,-1
6/23/2024,6/25/2024,3.379,3.413,0.034,1
6/30/2022,7/1/2022,4.958,4.925,-0.033,-1
9/11/2022,9/13/2022,3.954,3.921,-0.033,-1
3/19/2023,3/21/2023,3.216,3.183,-0.033,-1
1/18/2023,1/19/2023,3.052,3.085,0.033,1
4/13/2023,4/14/2023,3.366,3.399,0.033,1
2/7/2024,2/8/2024,2.886,2.919,0.033,1
4/25/2025,4/26/2025,3.142,3.175,0.033,1
8/14/2022,8/16/2022,4.273,4.241,-0.032,-1
6/21/2024,6/22/2024,3.371,3.403,0.032,1
9/25/2025,9/26/2025,3.146,3.114,-0.032,-1
6/1/2022,6/2/2022,4.488,4.520,0.032,1
12/5/2021,12/7/2021,3.402,3.371,-0.031,-1
11/19/2022,11/20/2022,3.746,3.715,-0.031,-1
12/2/2022,12/3/2022,3.450,3.419,-0.031,-1
5/26/2023,5/27/2023,3.605,3.636,0.031,1
3/5/2024,3/6/2024,3.310,3.341,0.031,1
6/9/2024,6/11/2024,3.403,3.372,-0.031,-1
